STATES / UTs,2013 - Public Sector,2013 - Total (Includes Omni Buses),2014 - Public Sector,2014 - Total (Includes Omni Buses),2015 - Public Sector,2015 - Total (Includes Omni Buses),2016 - Public Sector,2016 - Total (Includes Omni Buses),2017 - Public Sector,2017 - Total (Includes Omni Buses),2018 - Public Sector,2018 - Total (Includes Omni Buses),2019 - Public Sector,2019 - Total (Includes Omni Buses)
Andhra Pradesh,22477,52323,11857,56125,12079,60144,12012,64444,12072,66472,11687,77847,11837,83497
Arunachal Pradesh ,207,NA,219,NA,218,NA,164,8670,192,5221,219,7242,237,9349
Assam,NA,20211,NA,19912,NA,21401,1090,23863,1067,21749,1327,24329,1284,25714
Bihar,414,25992,414,27638,223,29384,223,31075,223,33751,579,36584,579,39618
Chhattisgarh,NA,49684,NA,54366,NA,58895,NA,64541,NA,69925,0,75195,0,79214
Goa,425,9956,547,10925,540,11224,569,11503,530,11888,520,12195,548,12411
Gujarat,8839,70615,8888,72998,8711,76435,8845,82734,8773,74855,8465,81087,9049,86156
Haryana ,3755,43456,3816,46558,4079,52640,4170,55781,4145,60129,4063,59826,3951,62594
Himachal Pradesh ,2076,15937,2059,16139,2162,17164,2645,21030,3105,11632,3172,13839,3216,14622
Jammu and Kashmir ,704,29575,694,30634,610,32382,610,33413,529,65045,525,65680,512,66718
Jharkhand,NA,30721,NA,12451,NA,13090,NA,74112,NA,10432,0,10432,0,10432
Karnataka,22740,186705,23708,195913,24028,204803,23803,213699,23668,224580,24457,235590,25232,244864
Kerala ,5847,407983,5830,413830,5691,418620,5636,111835,5869,117720,5738,125630,5679,130687
Madhya Pradesh,0,40633,0,42636,NA,45976,NA,167467,NA,189118,0,195102,0,213643
Maharashtra,24462,129535,24961,140087,25162,140102,25613,150427,25709,160042,25562,170483,25435,179794
Manipur,0,5356,0,5500,NA,5577,NA,7314,0,2583,0,2689,0,2879
Meghalaya,52,4948,64,4948,63,4948,59,5466,52,5590,61,5826,62,5921
Mizoram ,34,1187,34,1208,33,1231,49,1268,49,1268,42,699,37,726
Nagaland,233,6289,213,5890,193,5933,185,6282,223,6424,249,6601,250,7081
Orissa,376,26672,422,27775,446,28669,459,29818,455,31289,443,32986,441,35131
Punjab ,2908,30160,2640,30160,2593,30160,2748,41908,2881,45378,3002,46163,3009,49271
Rajasthan,4480,88616,4674,93892,4704,97650,4529,102818,4635,108681,5952,113964,5700,118301
Sikkim,95,681,97,236,85,272,126,336,122,363,122,363,120,363
Tamil Nadu,19350,176427,19966,185216,20132,191827,20509,199330,20540,207427,14,213822,10,221705
Telangana,NA,77903,10288,82785,10329,88424,10391,47470,10415,104323,21787,108445,20863,116321
Tripura,63,2291,47,1920,47,2484,48,2749,47,2967,10558,2932,10481,3074
Uttarakhand,8893,10731,1225,11639,1246,12357,1246,7902,10780,12031,12643,13348,12380,16643
Uttar Pradesh,1215,64147,9600,74389,9415,80460,9577,89127,1242,112020,1297,112766,1338,121975
West Bengal ,1976,173710,1830,188968,2033,205480,2223,44771,2299,46964,796,46964,898,46964
Andaman and Nicobar Islands ,227,958,258,1007,266,1039,268,1074,268,1088,284,1101,284,1119
Chandigarh ,472,2295,468,2326,432,2561,494,2729,533,2932,550,2702,534,799
Dadra and Nagar Haveli,0,359,0,690,NA,735,NA,554,NA,599,0,67,0,95
Daman and Diu,NA,594,NA,602,NA,617,NA,51,NA,51,0,NA,0,0
Delhi,5602,19917,5341,19595,4977,19700,4564,43723,4168,41686,5618,31621,5573,32233
Lakshadweep,NA,NA,NA,37,NA,37,NA,37,NA,39,0,39,0,39
Puducherry,0,7678,0,7838,NA,8128,NA,7346,NA,7950,0,8359,0,8910
Grand Total ,137922,1814245,140160,1886833,140497,1970549,142855,1756667,144591,1864212,149732,1942518,149539,2048863
