Category,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,CAGR(2009-10 to 2019-20)
Passenger Cars,441709,447403,501546,544656,551218,542082,532630,602134,580153,513912,490748,1.06
Utility Vehicles,2823,3789,5221,8261,43433,77024,118741,154257,166317,158251,183671,51.82
Vans,1613,2287,2016,1769,1491,3364,1682,2336,1896,4029,2892,6.01
Total Passenger Vehicles,446145,453479,508783,554686,596142,622470,653053,758727,748366,676192,677311,4.26
MandHCVs,20425,29272,28495,19019,23813,30652,35197,43719,44093,48676,24162,1.69
LCVs,24584,47025,63763,60925,53237,55130,67927,64552,52772,51257,36551,4.05
Total CVs,45009,76297,92258,79944,77050,85782,103124,108271,96865,99933,60713,3.04
Three Wheelers,173214,269967,361753,303088,353392,407957,404441,271894,381002,567683,502169,11.23
Scooters,30125,52312,94440,91084,93931,196127,257481,292828,314284,398316,369998,28.51
Motorcycles,1102978,1480983,1871595,1866549,1982817,2251791,2210615,2027297,2483307,2865851,3136519,11.02
Mopeds,6905,6295,9076,3308,7252,9679,14780,20152,17412,16674,13859,7.22
Total Two Wheelers,1140058,1539590,1975111,1960941,2084000,2457597,2482876,2340277,2815003,3280841,3520376,11.94
Quadricycle,NA,NA,NA,NA,NA,NA,NA,1556,1605,4400,5185,NA
Grand Total,1804426,2339333,2937905,2898659,3110584,3573806,3643494,3480725,4042841,4629049,4765754,10.20
