Category,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,CAGR(2009-10 to 2019-20)
Passenger Cars,1932620,2453113,2537170,2429199,2322578,2416862,2565970,2711911,2746658,2711160,2175242,1.19
Utility Vehicles,272883,318576,370945,564928,568692,629255,717809,909555,1093346,1099780,1124973,15.22
Vans,151908,215607,237954,239434,196703,174055,181266,180204,180263,217531,133798,-1.26
Total Passenger Vehicles,2357411,2987296,3146069,3233561,3087973,3220172,3465045,3801670,4020267,4028471,3434013,3.83
MandHCVs,250133,344542,384801,278560,221556,268553,341287,342761,344592,444356,233979,-0.67
LCVs,317423,408193,544335,553184,477479,428530,445405,467492,550856,668049,518043,5.02
Total CVs,567556,752735,929136,831744,699035,697083,786692,810253,895448,1112405,752022,2.85
Three Wheelers,619194,799553,879289,839742,830108,949021,934104,783721,1022181,1268833,1133858,6.24
Scooters,1494409,2144765,2659340,3025014,3676213,4721415,5276138,5926499,7117795,7095164,6027198,14.96
Motorcycles,8444857,10527111,11982669,11904212,12474626,13023210,12816203,13088208,15167481,16499424,14359418,5.45
Mopeds,571070,704575,785523,791954,732210,755345,737886,919032,869562,905189,649678,1.30
Total Two Wheelers,10512903,13376451,15427532,15721180,16883049,18499970,18830227,19933739,23154838,24499777,21036294,7.18
Quadricycle,NA,NA,NA,NA,NA,NA,NA,1584,1713,5388,6095,NA
Grand Total,14057064,17916035,20382026,20626227,21500165,23366246,24016068,25330967,29094447,30914874,26362282,6.49
