Category,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,CAGR(2009-10 to 2019-20)
Passenger Cars,1970046,2430105,2532852,2440127,2338044,2418099,2557727,2705981,2174024,2218489,1695441,-1.49
Utility Vehicles,275563,328001,368993,561921,569272,630723,705317,916255,922322,941474,946010,13.13
Vans,151869,215794,236777,239067,192335,174759,179217,184073,192235,217426,132124,-1.38
Total Passenger Vehicles,2397478,2973900,3138622,3241115,3099651,3223581,3442261,3806309,3288581,3377389,2773575,1.47
MandHCVs,265369,352060,377711,287282,224431,263407,337594,346286,340781,390732,224806,-1.65
LCVs,312361,400645,524046,585812,485470,437336,451234,476067,516135,616579,492882,4.67
Total CVs,577730,752705,901757,873094,709901,700743,788828,822353,856916,1007311,717688,2.19
Three Wheelers,613606,795989,875034,841379,833477,939884,942649,783773,635698,701005,636569,0.37
Scooters,1492659,2126109,2653421,3014485,3696674,4701656,5289159,5897501,6719909,6701430,5566036,14.07
Motorcycles,8444100,10500073,11944898,11952135,12463932,12995340,12911021,13121844,12620690,13598190,11214640,2.88
Mopeds,571489,703713,785942,792069,730172,765182,738547,910670,859518,880227,636940,1.09
Electric Two Wheelers,2761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total Two Wheelers,10511009,13329895,15384261,15758689,16890778,18462178,18938727,19930015,20200117,21179847,17417616,5.18
Quadricycle,NA,NA,NA,NA,NA,NA,NA,1556,NA,627,942,NA
Grand Total,14099823,17852489,20299674,20714277,21533807,23326386,24112465,25344006,24981312,26266179,21546390,4.33
