Year (As on 31st March),All Vehicles (In thousands),Two Wheelers (In thousands),"Cars, Jeeps and Taxis (In thousands)",Buses (In thousands),Goods Vehicles (In thousands),Others (In thousands)
1951,306,27,159,34,82,4
1956,426,41,203,47,119,16
1959,562,67,267,48,148,32
1960,605,76,282,54,157,36
1961,665,88,310,57,168,42
1962,749,116,340,60,189,44
1963,847,140,375,63,215,54
1964,906,168,388,67,224,59
1965,1006,202,428,70,242,64
1966,1099,226,456,73,259,85
1967,1191,286,482,76,266,81
1968,1332,347,522,83,285,95
1969,1474,417,574,86,298,99
1970,1658,503,628,92,322,113
1971,1865,576,682,94,343,170
1972,2045,656,740,100,364,185
1973,2109,734,709,95,308,263
1974,2327,838,768,105,323,293
1975,2472,946,766,114,335,311
1976,2700,1057,779,115,351,398
1977,3260,1415,878,119,383,465
1978,3614,1618,919,124,403,550
1979,4059,1888,996,133,444,598
1980,4521,2117,1059,140,473,732
1981,5391,2618,1160,162,554,897
1982,6055,3065,1243,173,613,961
1983,6973,3654,1385,185,675,1074
1984,7949,4351,1455,199,742,1202
1985,9170,5179,1607,223,822,1339
1986,10577,6245,1780,227,863,1462
1987,12618,7739,2007,245,984,1643
1988,14818,9300,2295,269,1114,1840
1989,16920,10965,2486,278,1179,2012
1990,19152,12611,2694,298,1238,2311
1991,21374,14200,2954,331,1356,2533
1992,23507,15661,3205,358,1514,2769
1993,25346,17060,3344,380,1592,2970
1994,27660,18899,3569,392,1691,3109
1995,30295,20831,3841,423,1794,3406
1996,33786,23252,4204,449,2031,3850
1997,37332,25729,4672,484,2343,4104
1998,41368,28642,5138,538,2536,4514
1999,44875,31328,5556,540,2554,4897
2000,48857,34118,6143,562,2715,5319
2001,54991,38556,7058,634,2948,5795
2002,58924,41581,7613,635,2974,6121
2003,67007,47519,8599,721,3492,6676
2004,72718,51922,9451,768,3749,6828
2005,81499,58799,10320,892,4031,7457
2006,89618,64743,11526,992,4436,7921
2007,96707,69129,12649,1350,5119,8460
2008,105353,75336,13950,1427,5601,9039
2009,114951,82402,15313,1486,6041,9710
2010,127746,91598,17109,1527,6432,11080
2011,141866,101865,19231,1604,7064,12102
2012,159491,115419,21568,1677,7658,13169
2013,176044,127830,24056,1814,8307,14037
2014,190704,139410,25998,1887,8698,14712
2015,210023,154298,28611,1971,9344,15799
2016,230031,168975,30242,1757,10516,18541
2017,253311,187091,33688,1864,12256,18411
2018,272587,202755,36453,1943,12773,18663
2019,295772,221270,38433,2049,13766,20254
CAGR2008/2018,9.97,10.41,10.08,3.13,8.59,7.52
CAGR2009/2019,9.91,10.38,9.64,3.27,8.58,7.63
