Category,All States and UTs - 31.3.2020
A. Stage carriages,NA
Public (STU),192933
Private,175068
Total,368001
B. Contract carriages,NA
Auto rickshaw,3908997
E-rickshaw,24105
Ordinary taxi,260424
Motor Cab (SP),695394
Motor Cab (AIP),548276
Maxi Cab (SP),343603
Maxi Cab (AIP),115581
Omni Bus (SP),40031
Omni Bus (AIP),7569
Any other,154330
Total,6098310
C. Private Service Vehicles,NA
Educational Institution Bus,253536
Ambulance,45498
Fire Fighter,2937
Any other,63986
Total,365957
D. Goods carriages,NA
Lorry (SP),1639291
Lorry (NP),697608
Tankers (SP),134159
Tankers (NP),173369
Tractor and Trailer,1695388
Light Motor Vehicles,1937728
Multiaxled/Articulated (SP),347149
Multiaxled/Articulated (NP),235074
Any other,585015
Total,7444781
Grand Total (A+B+C+D),14277049
