Million Plus Cities,2010 (in Thousand),2011 (in Thousand),2012 (in Thousand),2013 (in Thousand),2014 (in Thousand),2015 (in Thousand),2016 (in Thousand),2017 (in Thousand),2018 (in Thousand),2019 (in Thousand),2020 (in Thousand)
Agra,580,640,704,752,825,905,923,962,1012,1118,1226
Ahmedabad,NA,NA,1682,1796,3196,3420,3656,3905,4132,4265,4571
Aurangabad ,NA,253,281,310,362,426,755,515,560,515,1441
Bengaluru,3491,3791,4156,4591,5050,5560,6113,6833,7406,8054,9638
Bhopal,674,755,829,877,933,1080,1061,1256,1256,1256,1574
Chandigarh ,NA,NA,1058,1106,631,746,837,883,951,1013,1059
Chennai,3149,3456,3767,4072,4354,4934,4938,5299,5642,5997,6352
Coimbatore,1110,1241,1386,1528,1649,1901,1904,2059,2164,2278,2378
Delhi,6747,7228,7350,7785,8293,8851,8851,10260,10686,11392,11893
Dhanbad,31,41,462,490,521,563,604,651,651,651,657
Durg Bhilai,NA,NA,445,490,721,769,817,815,910,958,1003
Faridabad,NA,NA,NA,NA,NA,NA,NA,NA,7733,8600,8600
Ghaziabad ,409,470,525,628,685,752,840,918,1007,1108,1210
Greater Mumbai,1768,1870,2029,2187,2333,2571,2820,3053,3318,3053,3876
Gwalior  ,412,449,490,530,573,618,634,NA,0,0,884
Hyderabad,2728,3033,3387,2040,2203,2369,2369,2715,2715,2715,3243
Indore,1098,1213,1338,1491,1568,1713,1811,1935,1935,1935,2432
Jabalpur ,516,559,605,646,585,638,663,NA,0,0,1088
Jaipur,1549,1694,1871,1962,2121,2249,2424,2583,2773,2975,3168
Jamshedpur,56,67,682,682,421,472,59,266,266,266,793
Jodhpur,577,636,868,793,854,916,977,1052,1115,1191,1268
Kalyan Dombivali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669
Kannur,NA,NA,NA,NA,167,188,213,232,283,314,332
Kanpur,940,1002,1067,1143,1227,1462,1542,1633,1746,1858,1582
Kochi ,322,409,480,547,576,606,501,NA,889,934,957
Kolkata,411,445,496,1278,1339,1402,741,800,800,800,1024
Kollam ,NA,NA,NA,NA,245,274,304,NA,310,356,382
Kota,440,473,953,554,597,654,711,764,812,177,899
Kozhikoda ,NA,NA,NA,NA,373,412,445,NA,412,466,496
Lucknow ,1107,1211,1315,1424,1553,1710,1818,1978,2173,2341,2618
Madurai,530,603,680,768,833,955,957,1037,1095,1161,1220
Malappuram,NA,NA,NA,NA,257,277,304,324,374,445,477
Meerut ,387,423,420,412,459,525,567,624,718,799,884
Nagpur,1079,1157,1237,1270,1274,1276,1475,1527,1619,1527,1782
Nashik,358,398,444,490,541,622,677,708,737,708,839
Patna,581,658,743,829,941,1019,1136,1258,1438,1578,1715
Pimprichichwad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2035
Prayagraj,NA,NA,738,747,817,897,1060,1023,1146,1264,1506
Pune,1908,2094,2267,2347,2185,2337,2519,2717,2954,2717,3199
Raipur,469,527,579,639,980,1112,1213,1324,1434,1532,1632
Rajkot,NA,NA,760,827,888,979,1804,1926,2067,2164,2259
Ranchi,NA,NA,729,684,74,547,613,765,765,765,2061
Salem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1637
Srinagar,172,184,201,218,218,236,272,291,316,337,337
Surat,NA,NA,1145,1241,2244,2459,2666,2887,3169,3378,3562
Trichy,400,457,521,593,649,763,764,831,856,879,899
Thane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2243
Thiruvananthapuram,NA,NA,NA,NA,535,572,616,813,813,813,973
Thrissur,NA,NA,NA,NA,329,355,390,NA,NA,NA,427
Varanasi ,497,538,588,633,695,769,777,907,985,1058,1166
Vasai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237
Vashi N.Mumbai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484
Vijayawada ,523,466,553,517,568,610,663,NA,781,851,909
Vadodara,NA,NA,839,914,980,1042,1895,2022,2179,2315,2440
Visakhapatnam ,586,617,683,643,690,731,783,NA,64,965,1022
Total ,35605,39058,51353,53473,60112,66244,70478,72350,87164,91840,113255
