Million Plus Cities,Non-Transport - Two-Wheelers - Scooters,Non-Transport - Two-Wheelers - Mopeds,Non-Transport - Two-Wheelers - Motor Cycles,Non-Transport - Cars,Non-Transport - Jeeps,Non-Transport - Omni Buses,Non-Transport - Tractors,Non-Transport - Trailers,Non-Transport - Others,Non-Transport - Total Non-Transport,Grand Total (Transport+Non Transport)
Agra,0,21838,979512,140513,0,77,28743,168,942,1171793,1226054
Ahmedabad,2908894,304111,0,771822,32337,0,58528,30005,15397,4121094,4571193
Aurangabad ,89748,51396,996432,87612,29322,452,30393,15860,6348,1307563,1441276
Bengaluru,6418232,0,0,1989509,0,4969,34077,13026,36837,8496650,9638362
Bhopal,123263,0,1083517,234553,0,21895,23073,0,4677,1490978,1574139
Chandigarh ,481648,1530,NA,546668,NA,0,304,0,0,1030150,1058857
Chennai,1021633,624300,2931034,1087473,12756,8830,2948,11775,80676,5781425,6351729
Coimbatore,429301,335892,1149202,306617,5788,312,10417,1354,32318,2271201,2377904
Delhi,7834001,125752,NA,3311579,0,4,264,0,58,11271658,11892877
Dhanbad ,425544,260,0,84913,0,40,6,0,84903,595666,656546
Durg Bhilai,556037,125876,150366,73804,1855,7426,23924,11817,2965,954070,1002690
Faridabad,5699857,53440,0,276464,183115,373,453017,0,74162,6740428,8599668
Ghaziabad ,247881,29794,567064,252754,9403,865,20653,591,1917,1130922,1209505
Greater Mumbai,671559,31948,1606684,1082059,29675,3714,207,133,3527,3429506,3876165
Gwalior  ,42614,NA,652366,87856,NA,8305,35067,NA,4102,830310,884101
Hyderabad,0,43238,2387164,503662,7260,28851,2089,843,18714,2991821,3242809
Indore,36032,0,1795550,339454,0,42827,40434,0,6456,2260753,2431657
Jabalpur ,126745,NA,773753,84500,NA,12694,26720,NA,5819,1030231,1087697
Jaipur,2289620,0,0,452317,106710,0,56100,3365,7788,2915900,3168343
Jamshedpur,569144,19144,0,109096,0,16,132,7,26576,724115,792719
Jodhpur,915089,0,0,95098,43147,0,75357,8735,5056,1142482,1267620
Kalyan Dombivali,49798,6113,450091,86801,5070,80,958,258,1356,600525,668535
Kannur,96507,0,121547,63752,8624,120,102,0,3982,294634,332430
Kanpur,324258,45218,773980,228698,89159,11721,16805,279,570,1490688,1582264
Kochi ,207036,2,367157,271651,982,216,198,NA,9860,857102,956561
Kolkata,468201,NA,NA,428798,NA,NA,102,NA,2108,899209,1024077
Kollam ,98896,NA,186992,45742,8568,217,1585,NA,3629,345629,381719
Kota,702715,0,0,62201,42191,0,29898,8691,2100,847796,898740
Kozhikoda ,112241,0,195867,97416,7033,187,501,0,7669,420914,495549
Lucknow,514699,78569,1312809,395835,85689,571,28136,1961,75962,2494231,2617830
Madurai,131375,139281,743105,96102,1607,85,7715,2261,16231,1137762,1220409
Malappuram,105862,0,211354,65281,18659,308,632,0,6964,409060,476784
Meerut ,201627,21260,472469,112562,1010,22,16226,27,659,825862,884047
Nagpur,494224,23430,944614,160355,41121,1050,6121,5558,4266,1680739,1781502
Nashik,21469,3894,695878,102121,10892,0,28,1,144,834427,839490
Patna ,0,6741,1203592,228561,42408,0,29012,17753,10622,1538689,1715314
Pimprichichwad,366813,37618,1086689,315107,29467,60,21205,4110,6050,1867119,2034883
Prayagraj,163115,60589,1024291,133989,16226,98,7313,62,442,1406125,1506277
Pune,405392,161035,1803085,530023,35172,718,19378,10361,10026,2975190,3198829
Raipur,758259,133655,369113,132908,2547,15604,48025,31472,9127,1500710,1632014
Rajkot,1450845,302675,NA,250825,5106,0,52173,35242,11238,2108104,2258704
Ranchi,739506,19793,0,187362,0,0,11,0,759912,1706584,2061114
Salem,288353,360543,699924,158744,4179,74,10488,4477,17790,1544572,1637357
Srinagar,32712,14031,107066,114385,6518,2,1788,112,2152,278766,337400
Surat,2456790,318896,NA,492100,20778,0,22394,11835,6062,3328855,3562258
Trichy,132568,252325,359687,73530,1003,90,6684,1531,9193,836611,898889
Thane,258239,13660,1018638,464520,45512,5469,1936,8972,15548,1832494,2243352
Thiruvananthapuram,202748,2,379666,276894,1178,183,366,0,10185,871222,972523
Thrissur ,98435,8,164494,104685,1083,226,413,NA,7871,377215,427104
Varanasi ,141472,62895,727938,77406,22072,568,18918,9364,3902,1064535,1165803
Vasai,44698,488,126812,33618,318,44,189,113,502,206782,236608
Vashi N.Mumbai,11251,36,236841,117857,4070,569,35,2957,6663,380279,483672
Vijayawada ,NA,50794,612705,86689,1033,2739,10191,6660,15537,786348,908851
Vadodara,1405237,407815,NA,327326,18277,0,41915,18258,8004,2226832,2440109
Visakhapatnam ,NA,1908,790837,121231,1403,2700,1398,115,7983,927575,1021836
TOTAL ,43372183,4291793,32259885,18363398,1040323,185371,1325292,280109,1473547,102591901,113254745
