Million Plus Cities,Transport - Multi-axled/Articulated Vehicles,Transport - Trucks & Lorries,Transport - Light Motor Vehicles (Goods) - Four Wheelers,Transport - Light Motor Vehicles (Goods) - Three Wheelers,Transport - Buses - Stage carriage,Transport - Buses - Contract carriage,Transport - Buses - Private Service,Transport - Buses - Other Buses,Transport - Taxies - Motor cab,Transport - Taxies - Maxi cab,Transport - Taxies - Other taxis,Transport - Light Motor Vehicles (Passengers-Auto) - Three Seaters,Transport - Light Motor Vehicles (Passengers-Auto) - Four to Six Seaters,Transport - Motor Cycles on Hire,Transport - Other vehicles not covered,Transport - Total Transport
Agra,3992,3556,2615,14651,228,566,511,1070,5143,889,148,14055,6810,27,0,54261
Ahmedabad,3498,54352,44242,74207,21028,8203,1201,1645,0,6925,24616,210182,0,0,0,450099
Aurangabad ,7,16468,34162,32099,5996,2374,2004,1683,59,0,3417,35444,0,0,0,133713
Bengaluru,15102,171083,166800,60622,116877,0,0,0,196416,54783,130,289391,70508,0,0,1141712
Bhopal,4984,20261,15268,0,3111,2149,0,492,12799,2972,0,21125,0,0,0,83161
Chandigarh ,0,1495,10492,3931,643,165,2113,44,2233,519,0,6417,650,5,0,28707
Chennai,45641,66085,72421,23336,10127,14553,4460,15218,108380,40820,2256,154743,12264,0,0,570304
Coimbatore,3228,14776,14266,8085,3465,617,1579,4491,24698,6762,483,23047,1206,0,0,106703
Delhi,180923,0,3895,74312,33249,0,11,49,107956,14054,466,114891,85477,0,5936,621219
Dhanbad,6,27095,0,5756,1029,0,0,0,5444,760,0,20790,0,0,0,60880
Durg Bhilai,1653,21007,10112,4469,1134,451,1235,443,1180,223,0,3191,3522,0,0,48620
Faridabad,857033,294031,183115,18099,14726,21893,13349,12253,93349,3081,0,148076,197159,3076,0,1859240
Ghaziabad ,2722,9696,15431,2585,290,1080,1157,2509,14257,475,389,19740,7590,662,0,78583
Greater Mumbai,70,6311,55944,25624,6016,7861,1047,5049,43706,0,76052,218979,0,0,0,446659
Gwalior  ,5492,15016,6884,0,1164,1420,337,0,2934,3805,0,16739,0,0,0,53791
Hyderabad,1299,21372,53103,25484,4087,1315,937,3069,29762,6109,3780,96943,0,3728,0,250988
Indore,22674,70314,25319,0,3274,4924,1563,0,6967,4282,0,31587,0,0,0,170904
Jabalpur,6280,21663,11516,0,638,1228,234,0,1169,1269,0,13469,0,0,0,57466
Jaipur,0,109544,0,16201,27012,0,0,0,46260,0,0,47350,6076,0,0,252443
Jamshedpur,6,30675,0,8018,1390,0,0,0,3578,6062,0,18875,0,0,0,68604
Jodhpur,0,70726,0,12259,9229,0,0,0,13515,0,0,19253,156,0,0,125138
Kalyan Dombivali,15,6370,7056,8456,152,2174,245,506,0,0,1280,41756,0,0,0,68010
Kannur,1496,2341,6824,4048,1550,1427,109,0,2054,0,1699,0,14568,0,1680,37796
Kanpur,3328,32148,8045,7338,909,359,523,936,2538,1342,39,4978,28764,329,0,91576
