States/Union Territories,Total Transport Vehicle during 2019-20 (Incremental),Total Non-Transport Vehicle during 2019-20 (Incremental),Total Transport upto 31.03.2020 (cummulative),Total Non-Transport upto 31.03.2020 (cummulative),Total Transport + non transport during 2019-20 (Incremental),Total (Transport + Non Transport upto 31.3.2020) (Cummulative)
Andhra Pradesh,119315,996372,1627634,11480857,1115687,13108491
Arunachal Pradesh,3778,25191,39496,190630,28969,230126
Assam,50205,411369,603391,3755138,461574,4358529
Bihar,108624,1242082,827679,9076210,1350706,9903889
Chhattisgarh,24474,592460,372532,6613687,616934,6986219
Goa,7635,50182,145619,1312133,57817,1457752
Gujarat,149677,1483597,2429251,24407730,1633274,26836981
Haryana,199864,672051,1859240,6740428,871915,8599668
Himachal Pradesh,26143,172812,270332,1441588,198955,1711920
Jammu and Kashmir,16503,160302,294299,1673209,176805,1967508
Jharkhand,42797,534191,440245,4624738,576988,5064983
Karnataka,174768,1400859,2827606,23290008,1575627,26117614
Kerala,66475,782725,1728204,12455980,849200,14184184
Madhya Pradesh,80298,1465623,841124,17082038,1545921,17923162
Maharashtra,237134,2132292,3380530,34405726,2369426,37786256
Manipur,4310,49743,45412,316558,54053,361970
Meghalaya,4979,28199,98205,267599,33178,365804
Mizoram,3517,27836,42627,224723,31353,267350
Nagaland,16060,14545,248185,272108,30605,520293
Odisha,63727,771114,784197,8331521,834841,9115718
Punjab,39498,737433,607894,10728472,776931,11336366
Rajasthan,97400,1414934,1357303,17878707,1512334,19236010
Sikkim,1022,2830,20082,34024,3852,54106
Tamil Nadu,75250,1844160,2243872,29850716,1919410,32094588
Telangana,108972,1125514,1114226,11792200,1234486,12906426
Tripura,5896,52745,83977,467120,58641,551097
Uttarakhand,18889,226705,206107,2692875,245594,2898982
Uttar Pradesh,242885,3286932,1918148,33006676,3529817,34924824
West Bengal,85853,1131012,962267,9953685,1216865,10915952
Andaman and Nicobar Islands,367,8642,12816,137244,9009,150060
Chandigarh,2068,43530,28707,1030150,45598,1058857
Daman and Diu,2310,14740,22307,246485,17050,268792
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA
Delhi,58700,552128,621219,11271658,610828,11892877
Lakshadweep,168,1258,2594,20071,1426,22665
Puducherry,8264,47959,55597,1063185,56223,1118782
Total,2147825,23504067,28162924,298135877,25651892,326298801
