States/Union Territories,Two wheelers (I) - Scooters,Two wheelers (I) - Mopeds,Two wheelers (I) - Motor cycles,Cars (II),Jeeps (III),Omni buses (IV),Tractors (V),Trailers (VI),Other vehicles not covered (VII),Total Non-Transport (I TO VII),NA
Andhra Pradesh,0,319361,9916612,794284,10532,34130,218421,139864,47653,11480857,13108491
Arunachal Pradesh,39405,3684,65170,67553,5228,39,1490,927,7134,190630,230126
Assam,0,0,2881439,770530,0,1392,75728,26049,0,3755138,4358529
Bihar,0,53900,7603700,464204,156345,0,492387,236793,68881,9076210,9903889
Chhattisgarh,3098850,554980,2046874,394604,25668,62056,267533,136219,26903,6613687,6986219
Goa,1001014,0,NA,301751,0,0,4248,0,5120,1312133,1457752
Gujarat,16877939,2743441,0,3457788,0,0,820111,397620,110831,24407730,26836981
Haryana,0,53440,5699857,276464,183115,373,453017,0,74162,6740428,8599668
Himachal Pradesh,0,13826,892652,511545,0,1227,22193,145,0,1441588,1711920
Jammu and Kashmir,72551,273782,649848,574959,15355,43500,14059,15506,13649,1673209,1967508
Jharkhand,3718567,80503,0,551797,0,342,2476,401,270652,4624738,5064983
Karnataka,18510282,0,0,3756733,0,16112,586969,321415,98497,23290008,26117614
Kerala,3895064,240,5312249,2896732,149020,3009,15199,0,184467,12455980,14184184
Madhya Pradesh,0,880444,13423497,1228865,0,160767,1330745,0,57720,17082038,17923162
Maharashtra,4727264,1486319,21550786,4657833,584473,18919,825189,425534,129409,34405726,37786256
Manipur,224473,10921,7322,53026,16033,1150,1629,308,1696,316558,361970
Meghalaya,132321,0,0,100922,23114,0,936,2909,7397,267599,365804
Mizoram,169097,1225,0,54225,0,1,93,26,56,224723,267350
Nagaland,87847,16944,0,130638,0,523,2993,1099,32064,272108,520293
Odisha,521743,184704,6584760,499444,49469,4110,195543,152901,138847,8331521,9115718
Punjab,8149693,189369,766,1852280,0,15,468532,10842,56975,10728472,11336366
Rajasthan,14610286,NA,NA,1307579,594743,0,1223825,86414,55860,17878707,19236010
Sikkim,1717,0,3345,18662,9928,0,0,217,155,34024,54106
Tamil Nadu,3832377,5589116,16598029,2892609,60911,20532,314193,81040,461909,29850716,32094588
Telangana,0,226457,9428877,1473289,16157,62791,310468,211340,62821,11792200,12906426
Tripura,43,1871,395393,63408,0,0,439,590,5376,467120,551097
Uttarakhand,2112083,0,0,517970,2977,1711,44256,6357,7521,2692875,2898982
Uttar Pradesh,2955769,992230,24011150,2794390,556725,33917,1522750,19235,120510,33006676,34924824
West Bengal,8487402,0,0,1221582,0,0,200736,0,43965,9953685,10915952
Andaman and Nicobar Islands,0,11324,94809,29587,0,621,190,24,689,137244,150060
Chandigarh,481648,1530,0,546668,0,0,304,0,0,1030150,1058857
Daman and Diu,19482,10386,153708,60665,927,61,756,239,261,246485,268792
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Delhi,7834001,125752,0,3311579,0,4,264,0,58,11271658,11892877
Lakshadweep,3880,530,14669,224,41,39,186,0,502,20071,22665
Puducherry,762020,193740,0,94769,1351,4474,2594,789,3448,1063185,1118782
Total,102326818,14020019,127335512,37729158,2462112,471815,9420452,2274803,2095188,298135877,326298801
