STATES/UTs,Licences valid at the end of the year i.e upto 31.3.2020 (Cummulative) - Male,Licences valid at the end of the year i.e upto 31.3.2020 (Cummulative) - Female,Licences valid at the end of the year i.e upto 31.3.2020 (Cummulative) - Total,New licences issued during the year i.e during 2019-20 (Incremental) - Male,New licences issued during the year i.e during 2019-20 (Incremental) - Female,New licences issued during the year i.e during 2019-20 (Incremental) - Total
Andhra Pradesh ,59149,16965,76114,429,112,541
Arunachal Pradesh ,926,221,1147,509,269,778
Assam,44543,0,44543,584,0,584
Bihar,119,0,119,1,0,1
Chhattisgarh,5510,36,5546,183,807,990
Goa,6783,2151,8934,166,14,180
Gujarat,0,0,80197,3829,931,4760
Haryana ,99144,0,99144,25055,0,25055
Himachal Pradesh,74528,1227,75755,20816,539,21355
Jammu and Kashmir,411,0,411,42,0,42
Jharkhand,66900,2463,69363,0,0,0
Karnataka,76707,3684,80391,29687,1328,31015
Kerala,110366,8055,118421,9,1,10
Madhya Pradesh ,71103,0,71103,678,0,678
Maharashtra,1370881,239522,1610403,12099,2187,14286
Manipur,NA,NA,NA,NA,NA,NA
Meghalaya,0,0,0,0,0,0
Mizoram,2582,35,2617,168,0,168
Nagaland,754,0,754,0,0,0
Odisha,456,5,461,4,0,4
Punjab ,6406,87,6493,22,NA,22
Rajasthan ,271548,0,271548,8801,982,9783
Sikkim,2928,632,3560,2894,630,3524
Tamil Nadu,780656,19142,799798,150,0,150
Telangana,6730,187,6917,282,10,292
Tripura ,0,0,0,0,0,0
Uttarakhand,8692,89,8781,688,6,694
Uttar Pradesh,233497,310,233807,5656,42,5698
West Bengal,0,0,0,0,0,0
Andaman and Nicobar Islands,0,0,0,0,0,0
Chandigarh,8531,3532,12063,989,279,1268
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA
Daman and Diu,NA,NA,NA,NA,NA,NA
Delhi ,38467,2074,40541,5317,532,5849
Lakshadweep,0,0,0,0,0,0
Puducherry,372,55,427,9,2,11
Total,3348689,300472,3729358,119067,8671,127738
