Name of State/UT,2019-20 (Accounts) - Tax on Vehicles,2019-20 (Accounts) - Tax on Goods and Pass.,2019-20 (Accounts) - Total,2020-21 (R.E) - Tax on Vehicles,2020-21 (R.E) - Tax on Goods and Pass.,2020-21 (R.E) - Total,2019-20 (Accounts) - Percentage of States/UTs Own Tax Revenue,2020-21 (R.E) - Percentage of States/UTs Own Tax Revenue
Andhra Pradesh,3278.8,36.2,3314.9,2919.6,25.1,2944.7,5.8,5.1
Arunachal Prdesh,38.1,0.2,38.3,25.0,0.4,25.4,3.1,1.7
Assam,815.8,47.5,863.3,921.9,53.6,975.5,5.2,5.2
Bihar,2712.7,22.9,2735.6,2500.0,20.0,2520.0,9.1,7.3
Chhattisgarh,1274.9,40.5,1315.4,1400.0,3.5,1403.5,5.9,6.2
Goa,268.8,32.1,300.9,367.9,46.9,414.8,6.4,8.0
Gujarat,3846.9,48.4,3895.3,2915.6,36.7,2952.2,4.9,3.5
Haryana,2915.8,15.8,2931.6,2500.0,3.0,2503.0,6.8,5.4
Himachal Pradesh,465.5,104.0,569.6,371.7,80.3,452.1,7.5,5.7
Jammu and Kashmir,408.7,732.5,1141.2,346.0,4.2,350.2,12.1,3.2
Jharkhand,1129.0,0.0,1129.0,1550.0,0.0,1550.0,6.7,7.4
Karnataka,6762.6,64.7,6827.3,5525.3,0.0,5525.3,6.7,5.8
Kerala,3721.1,0.0,3721.1,3367.1,0.0,3367.1,7.4,7.4
Madhya Pradesh,3251.2,145.0,3396.3,2640.0,90.0,2730.0,6.1,5.1
Maharashtra,8467.2,773.4,9240.6,6200.0,1600.0,7800.0,4.9,4.2
Manipur,47.7,1.6,49.3,40.0,2.0,42.0,4.1,3.1
Meghalaya,99.2,9.1,108.4,120.0,10.0,130.0,5.7,5.5
Mizoram,40.7,7.4,48.1,32.3,6.4,38.7,6.6,5.8
Nagaland,113.9,18.1,132.0,131.7,25.0,156.7,13.7,16.6
Odisha,1836.3,133.4,1969.8,1510.0,140.0,1650.0,6.1,5.1
Punjab,1994.3,0.0,1994.3,1567.9,0.0,1567.9,6.6,5.2
Rajasthan,4951.0,41.1,4992.1,5200.0,25.0,5225.0,8.4,7.6
Sikkim,41.1,0.0,41.1,26.0,0.0,26.0,4.2,2.9
Tamil Nadu,5674.6,10.8,5685.5,4566.5,2.7,4569.1,5.3,4.2
Telangana,3934.7,61.9,3996.6,4300.0,0.0,4300.0,5.9,5.6
Tripura,97.1,0.0,97.1,101.0,0.0,101.0,4.6,4.6
Uttarakhand,907.8,0.0,907.8,700.0,0.0,700.0,7.9,6.5
Uttar Pradesh,7714.9,0.0,7714.9,4915.7,0.0,4915.7,6.3,3.9
West Bengal,2600.8,34.2,2635.0,2260.4,150.0,2410.4,4.3,4.0
NCT of Delhi,1948.1,NA,1948.1,1500.0,NA,1500.0,5.3,5.1
Puducherry,139.6,NA,139.6,160.0,NA,160.0,5.6,6.5
Total,71499.0,2380.9,73879.9,60681.5,2324.8,63006.3,6.0,5.1
