STATES / UTs,2010 (in Thousands),2011 (in Thousands),2012 (in Thousands),2013 (in Thousands),2014 (in Thousands),2015 (in Thousands),2016 (in Thousands),2017 (in Thousands),2018 (in Thousands),2019 (in Thousands),2020 (in Thousands),CAGR 2010/2020
Andhra Pradesh,8923,10189,12424,6286,7002,7882,8728,9626,10796,11993,13108,3.92
Arunachal Pradesh,22,145,151,151,151,151,265,180,210,230,230,26.40
Assam,1384,1582,1807,1878,2217,2510,2817,3029,3442,3937,4359,12.16
Bihar,2357,2673,3113,3617,4163,4778,5482,6246,7364,8553,9904,15.44
Chhattisgarh,2436,2766,3104,3437,3871,4314,4810,5242,5793,6375,6986,11.11
Goa,727,790,866,938,1009,1084,1158,1239,1325,1402,1458,7.20
Gujarat,11873,12993,14414,15772,17092,18721,20361,22037,23821,25201,26837,8.50
Haryana ,4792,5377,5978,6600,7239,7928,8633,9370,7733,8600,8600,6.02
Himachal Pradesh ,538,622,737,876,974,1077,1176,1356,1495,1635,1712,12.26
Jammu and Kashmir,739,927,917,1021,1133,1244,1366,1511,1674,1854,1968,10.29
Jharkhand,2767,3113,3158,3417,1719,2066,2477,3385,3385,3385,5065,6.23
Karnataka,9044,9930,10910,12064,13335,14785,16292,17871,19382,21071,26118,11.19
Kerala,5398,6072,6893,7858,8775,9648,10172,11303,12341,13335,14184,10.14
Madhya Pradesh,6591,7356,8144,8760,9722,11141,11141,13199,14570,15296,17923,10.52
Maharashtra,15768,17434,19432,21488,23394,25562,27870,30217,32853,35392,37786,9.13
Manipur ,194,207,215,296,395,307,306,340,308,362,362,6.41
Meghalaya,158,176,198,220,248,267,558,583,333,366,366,8.75
Mizoram,80,93,102,121,137,151,171,187,208,234,267,12.76
Nagaland,254,273,291,311,318,334,380,410,449,490,520,7.41
Odisha,2932,3338,3759,4216,4702,5219,5833,6558,7424,8281,9116,12.01
Punjab ,5274,5274,6263,6263,6263,6263,9064,9843,9681,10559,11336,7.95
Rajasthan,7166,7986,8985,10072,11133,12379,13632,14901,16280,17710,19236,10.38
Sikkim,34,39,43,36,40,43,49,54,54,54,54,4.87
Tamil Nadu,14062,15638,17412,19232,20864,22519,24203,26109,28042,30175,32095,8.60
Telangana,NA,NA,NA,6376,7073,7845,8709,9844,10965,12128,12906,NA
Tripura,160,188,204,245,256,282,319,383,435,496,551,13.15
Uttarakhand,831,997,1244,1460,1640,1827,1888,2137,2480,2753,2899,13.30
Uttar Pradesh,11988,13287,15445,17048,19115,21636,23936,26265,29395,32712,34925,11.29
West Bengal ,2747,3261,3861,6111,6745,7403,6488,7446,7446,7446,10916,14.79
Andaman and Nicobar Islands,62,69,77,85,94,102,111,122,131,141,150,9.28
Chandigarh ,949,1008,1058,1106,631,676,837,883,951,1011,1059,1.10
Dadra and Nagar Haveli,69,76,85,93,103,112,105,116,118,124,269,14.59
Daman and Diu,72,78,85,92,95,100,106,111,NA,NA,NA,NA
Delhi,6747,7228,7350,7785,8293,8851,9705,10260,10686,11392,11893,5.83
Lakshadweep,8,9,10,11,13,14,16,18,18,18,23,11.18
Puducherry,599,673,755,700,751,803,863,930,998,1063,1119,6.44
GRAND TOTAL ,127746,141866,159490,176044,190704,210023,230031,253311,272587,295772,326299,9.83
