States/UTs,Total registered motor vehicles (As on 31.03.2019),%age share (2018-19),Total registered motor vehicles (As on 31.03.2020),%age share (2019-20)
Andhra Pradesh,11992806,4.05,13108491,4.02
Arunachal Pradesh,230156,0.08,230126,0.07
Assam,3936517,1.33,4358529,1.34
Bihar,8553183,2.89,9903889,3.04
Chhattisgarh,6375266,2.16,6986219,2.14
Goa,1402051,0.47,1457752,0.45
Gujarat,25201085,8.52,26836981,8.22
Haryana,8599668,2.91,8599668,2.64
Himachal Pradesh,1634827,0.55,1711920,0.52
Jammu and Kashmir,1853639,0.63,1967508,0.60
Jharkhand,3385347,1.14,5064983,1.55
Karnataka,21070551,7.12,26117614,8.00
Kerala,13334984,4.51,14184184,4.35
Madhya Pradesh,15296374,5.17,17923162,5.49
Maharashtra,35392167,11.97,37786256,11.58
Manipur,361970,0.12,361970,0.11
Meghalaya,365804,0.12,365804,0.11
Mizoram,233567,0.08,267350,0.08
Nagaland,489688,0.17,520293,0.16
Odisha,8280877,2.80,9115718,2.79
Punjab,10559435,3.57,11336366,3.47
Rajasthan,17709949,5.99,19236010,5.90
Sikkim,54106,0.02,54106,0.02
Tamil Nadu,30175178,10.20,32094588,9.84
Telangana,12128272,4.10,12906426,3.96
Tripura,495859,0.17,551097,0.17
Uttarakhand,2752685,0.93,2898982,0.89
Uttar Pradesh,32712054,11.06,34924824,10.70
West Bengal,7445573,2.52,10915952,3.35
Andaman and Nicobar Islands,141051,0.05,150060,0.05
Chandigarh,1011280,0.34,1058857,0.32
Dadra and Nagar Haveli,123522,0.04,268792,0.08
Daman and Diu,NA,NA,NA,NA
Delhi,11391551,3.85,11892877,3.64
Lakshadweep,18087,0.01,22665,0.01
Puducherry,1062559,0.36,1118782,0.34
Total All India,295771688,100,326298801,100
