Category,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,CAGR(2010-11 to 2020-21)
Passenger Cars,447403,501546,544656,551218,542082,532630,602134,580153,513912,475801,264927,-5.11
Utility Vehicles,3789,5221,8261,43433,77024,118741,154257,166317,158251,183468,137825,43.25
Vans,2287,2016,1769,1491,3364,1682,2336,1896,4029,2849,1648,-3.22
Total Passenger Vehicles,453479,508783,554686,596142,622470,653053,758727,748366,676192,662118,404400,-1.14
MandHCVs,29272,28495,19019,23813,30652,35197,43719,44093,48676,22333,17548,-4.99
LCVs,47025,63763,60925,53237,55130,67927,64552,52772,51257,38046,32786,-3.54
Total CVs,76297,92258,79944,77050,85782,103124,108271,96865,99933,60379,50334,-4.07
Three Wheelers,269967,361753,303088,353392,407957,404441,271894,381002,567683,501651,392941,3.82
Scooters,52312,94440,91084,93931,196127,257481,292828,314284,398316,369998,231972,16.06
Motorcycles,1480983,1871595,1866549,1982817,2251791,2210615,2027297,2483307,2865851,3135548,3037439,7.45
Mopeds,6295,9076,3308,7252,9679,14780,20152,17412,16674,13859,8313,2.82
Total Two Wheelers,1539590,1975111,1960941,2084000,2457597,2482876,2340277,2815003,3280841,3519405,3277724,7.85
Quadricycle,NA, NA ,NA,NA,NA,NA,1556,1605,4400,5185,3529,NA
Grand Total,2339333,2937905,2898659,3110584,3573806,3643494,3480725,4042841,4629049,4748738,4128928,5.85
