Category,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,CAGR(2010-11 to 2020-21)
Passenger Cars,2453113,2537170,2429199,2322578,2416862,2565970,2711911,2746658,2711160,2156868,1772972,-3.19
Utility Vehicles,318576,370945,564928,568692,629255,717809,909555,1093346,1099780,1136209,1182085,14.01
Vans,215607,237954,239434,196703,174055,181266,180204,180263,217531,131487,107164,-6.75
Total Passenger Vehicles,2987296,3146069,3233561,3087973,3220172,3465045,3801670,4020267,4028471,3424564,3062221,0.25
MandHCVs,344542,384801,278560,221556,268553,341287,342761,344592,444356,232414,181242,-6.22
LCVs,408193,544335,553184,477479,428530,445405,467492,550856,668049,524311,443697,0.84
Total CVs,752735,929136,831744,699035,697083,786692,810253,895448,1112405,756725,624939,-1.84
Three Wheelers,799553,879289,839742,830108,949021,934104,783721,1022181,1268833,1132982,611171,-2.65
Scooters,2144765,2659340,3025014,3676213,4721415,5276138,5926499,7117795,7095164,6026741,4556398,7.83
Motorcycles,10527111,11982669,11904212,12474626,13023210,12816203,13088208,15167481,16499424,14356051,13154501,2.25
Mopeds,704575,785523,791954,732210,755345,737886,919032,869562,905189,649678,636218,-1.02
Electric Two Wheelers,NA,NA,NA,NA,NA,NA,NA,NA,NA,457,2824,NA
Total Two Wheelers,13376451,15427532,15721180,16883049,18499970,18830227,19933739,23154838,24499777,21032927,18349941,3.21
Quadricycle,NA,NA,NA,NA,NA,NA,1584,1713,5388,6095,3836,NA
Grand Total,17916035,20382026,20626227,21500165,23366246,24016068,25330967,29094447,30914874,26353293,22652108,2.37
