Year,Motor Vehicles & Accessories - Import Duty,Motor Vehicles & Accessories - Excise Duty,Tyres & Tubes - Import Duty,Tyres & Tubes - Excise Duty,High Speed Diesel Oil - Import Duty,High Speed Diesel Oil - Excise Duty,Motor Spirit - Import Duty,Motor Spirit - Excise Duty,Total
2009-10,4121.7,6294.2,1470.9,596.8,4376.6,3339.1,3378.2,24809.5,48386.9
2010-11,6508.7,8667.6,2552.5,939.8,17546.2,3731.9,8735.6,26770.9,75453.2
2011-12,8126.7,9331.2,2961.2,1115.4,15280.1,4723.0,5239.5,28795.5,75572.5
2012-13,9096.4,12309.9,3513.7,1358.7,9949.6,27237.9,3754.9,23710.1,90931.2
2013-14,11762.8,10013.3,NA,1985.9,15563.0,27335.1,NA,22424.0,89084.1
2014-15,12412.5,9264.2,NA,2113.1,12571.8,42753.5,NA,30825.9,109941.0
2015-16,13945.0,14220.0,NA,2441.3,15202.0,101438.1,NA,52413.4,199659.7
2016-17,14421.2,19591.0,NA,2109.4,21290.4,151523.9,NA,71196.2,280132.1
2017-18,15060.2,21766.3,1068.2,1343.4,2227.7,139798.9,0.0,NA,181264.8
2018-19,19211.9,NA,1090.6,NA,1117.7,99877.2,0.0,NA,121297.4
