Category,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,CAGR(2010-11 to 2020-21)
Passenger Cars,1414845,1552010,1970046,2430105,2532852,2440127,2338044,2418099,2557727,2705981,2174024,2218489,2171237,1806793,-2.92
Utility Vehicles,251567,228655,275563,328001,368993,561921,569272,630723,705317,916255,922322,941474,1129427,1198575,13.84
Vans,101871,107767,151869,215794,236777,239067,192335,174759,179217,184073,192235,217426,134973,110489,-6.47
Total Passenger Vehicles,1768283,1888432,2397478,2973900,3138622,3241115,3099651,3223581,3442261,3806309,3288581,3377389,3435637,3115857,0.47
MandHCVs,296675,200314,265369,352060,377711,287282,224431,263407,337594,346286,340781,390732,246761,178236,-6.58
LCVs,252813,226505,312361,400645,524046,585812,485470,437336,451234,476067,516135,616579,531211,440657,0.96
Total CVs,549488,426819,577730,752705,901757,873094,709901,700743,788828,822353,856916,1007311,777972,618893,-1.94
Three Wheelers,506006,497793,613606,795989,875034,841379,833477,939884,942649,783773,635698,701005,1138716,609138,-2.64
Scooters,1075591,1173823,1492659,2126109,2653421,3014485,3696674,4701656,5289159,5897501,6719909,6701430,5935682,4711820,8.28
Motorcycles,6544349,6802971,8444100,10500073,11944898,11952135,12463932,12995340,12911021,13121844,12620690,13598190,14349210,13057275,2.20
Mopeds,431983,438514,571489,703713,785942,792069,730172,765182,738547,910670,859518,880227,650671,625560,-1.17
Electric Two Wheelers,17068,26485,2761,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,2456,NA
Total Two Wheelers,8068991,8441793,10511009,13329895,15384261,15758689,16890778,18462178,18938727,19930015,20200117,21179847,20935837,18397111,3.27
Quadricycle,NA,NA,NA,NA,NA,NA,NA,NA,NA,1556,NA,627,6127,3517,NA
Grand Total,10892768,11254837,14099823,17852489,20299674,20714277,21533807,23326386,24112465,25344006,24981312,26266179,26294289,22744516,2.45
