Year,Item,Dry Cargo* Liner,Dry Cargo Bulk Carrier#,Oil Tanker@,Ore/oil Bulk Carrier,Passenger-cum-Cargo**,Off-shore Supply $,Specialised for Off-shore Services***,Timber Carrier,Total
1985,No. of Vessels,135,109,55,14,14,41,NA,NA,368
1985,GT,1153,2186,1702,806,53,50,NA,NA,5950
1985,DWT,1657,3741,2886,1484,35,56,NA,NA,9859
1986,No. of Vessels,119,102,55,9,14,58,NA,2,359
1986,GT,1002,2080,1707,543,53,69,NA,25,5479
1986,DWT,1444,3510,2890,994,35,75,NA,41,8989
1987,No. of Vessels,108,102,62,9,14,65,NA,2,362
1987,GT,870,2170,1731,543,52,95,NA,8,5469
1987,DWT,1253,3644,2921,994,35,95,NA,13,8955
1988,No. of Vessels,106,106,66,9,15,57,16,3,378
1988,GT,838,2277,1755,544,47,62,58,12,5593
1988,DWT,1206,3815,3028,989,29,73,43,20,9203
1989,No. of Vessels,107,119,65,9,15,57,30,3,405
1989,GT,836,2563,1764,543,47,62,95,12,5922
1989,DWT,1207,4307,3048,990,29,73,70,21,9745
1990,No. of Vessels,107,121,66,9,15,63,31,6,418
1990,GT,843,2589,1816,543,47,69,94,26,6027
1990,DWT,1210,4355,3133,990,29,76,71,36,9900
1991,No. of Vessels,96,124,72,8,14,63,32,6,415
1991,GT,742,2561,1901,488,58,68,95,26,5939
1991,DWT,1054,4299,3232,889,32,76,71,36,9689
1992,No. of Vessels,100,137,82,3,13,67,33,6,441
1992,GT,727,2858,2281,172,68,73,85,24,6288
1992,DWT,1042,4835,3891,312,35,85,62,39,10301
1993,No. of Vessels,102,131,84,3,13,73,33,4,443
1993,GT,710,2708,2418,172,67,91,85,16,6267
1993,DWT,1013,4586,4150,312,35,92,62,26,10276
1994,No. of Vessels,112,117,86,3,14,74,27,4,437
1994,GT,637,2666,2613,172,68,91,83,16,6346
1994,DWT,895,4518,4572,312,35,92,63,26,10513
1995,No. of Vessels,119,135,93,3,16,73,27,4,470
1995,GT,620,3088,2867,171,68,89,83,16,7002
1995,DWT,867,5229,5012,312,35,90,63,26,11634
1996,No. of Vessels,133,136,94,3,16,71,27,4,484
1996,GT,648,3145,2842,171,61,86,83,16,7052
1996,DWT,829,5311,4863,312,32,87,63,26,11523
1997,No. of Vessels,139,128,92,3,16,68,26,4,476
1997,GT,634,2955,2881,171,60,83,78,16,6878
1997,DWT,796,4991,4934,312,32,82,58,26,11231
1998,No. of Vessels,149,122,96,3,16,69,26,3,484
1998,GT,615,2828,2950,171,61,73,76,11,6785
1998,DWT,758,4774,5027,312,32,81,57,19,11060
1999,No. of Vessels,165,116,106,3,23,68,27,2,510
1999,GT,652,2648,3348,171,76,73,77,8,7053
1999,DWT,793,4452,5750,312,37,81,57,13,11495
2000,No. of Vessels,198,117,107,4,24,69,28,2,549
2000,GT,591,2703,3218,200,76,74,83,8,6953
2000,DWT,709,4548,5548,355,37,85,61,13,11356
2001,No. of Vessels,201,119,108,4,27,69,27,2,557
2001,GT,488,2820,3220,200,79,74,79,18,6968
2001,DWT,547,4779,5587,355,37,85,59,13,11462
2002,No. of Vessels,279,90,105,2,35,73,31,2,617
2002,GT,467,2212,3172,95,86,78,89,8,6207
2002,DWT,499,3711,5539,169,35,96,53,13,10115
2003,No. of Vessels,277,87,115,2,38,73,31,2,625
2003,GT,418,2053,3794,95,88,78,89,8,6623
2003,DWT,435,3426,6644,169,34,96,53,13,10870
2004,No. of Vessels,299,91,126,2,39,78,32,2,669
2004,GT,427,2068,4844,95,88,81,90,8,7701
2004,DWT,422,3443,8483,169,35,97,54,13,12716
2005,No. of Vessels,331,99,130,2,41,82,36,0,721
2005,GT,458,2462,4967,95,88,85,87,0,8243
2005,DWT,436,4176,8655,169,34,100,52,0,13633
2006,No. of Vessels,370,97,135,2,49,87,36,0,776
2006,GT,499,2403,5161,95,90,87,82,0,8417
2006,DWT,459,4092,9020,169,219,102,57,0,14118
2007,No. of Vessels,414,106,139,2,60,94,35,0,850
2007,GT,601,2867,5188,95,103,95,81,0,9030
2007,DWT,602,4976,9048,169,38,111,47,0,14991
2008,No. of Vessels,429,106,137,2,72,131,35,0,912
2008,GT,725,2879,5241,95,109,175,86,0,9310
2008,DWT,758,4985,9150,169,39,207,47,0,15355
2009,No. of Vessels,459,101,140,2,84,150,38,0,974
2009,GT,766,2756,5452,95,111,211,88,0,9479
2009,DWT,779,4779,9590,169,39,224,50,0,15630
2010,No. of Vessels,540,104,154,2,92,110,38,0,1040
2010,GT,1036,2801,5901,95,126,118,88,0,10165
2010,DWT,1083,4860,10351,169,40,134,50,0,16687
2011,No. of Vessels,592,123,159,2,93,115,38,0,1122
2011,GT,1078,3466,6076,95,129,129,88,0,11061
2011,DWT,1099,4772,10453,169,40,134,50,0,16717
2012,No. of Vessels,635,128,139,1,96,117,38,0,1154
2012,GT,1163,3331,5537,28,131,139,88,0,10417
2012,DWT,1171,4450,9489,46,40,131,50,0,15377
2013,No. of Vessels,679,126,137,1,96,114,46,0,1199
2013,GT,1468,3043,5457,28,127,161,99,0,10383
2013,DWT,1683,3841,9345,46,40,164,59,0,15178
2014,No. of Vessels,684,127,135,1,97,111,49,0,1204
2014,GT,1544,2879,5413,28,162,182,101,0,10309
2014,DWT,1797,3702,9248,46,45,197,58,0,15093
2015,No. of Vessels,706,123,139,1,100,123,54,0,1246
2015,GT,1765,2629,5572,28,169,240,105,0,10508
2015,DWT,2157,3330,9554,46,46,274,62,0,15469
2016,No. of Vessels,741,122,150,1,101,129,57,0,1301
2016,GT,2210,2557,6105,28,169,258,98,0,11425
2016,DWT,2961,3207,10491,46,46,297,57,0,17105
2017,No. of Vessels,792,119,165,1,103,128,63,0,1371
2017,GT,2565,2373,6854,28,174,259,99,0,12352
2017,DWT,3517,3030,11798,46,47,297,57,0,18792
2018,No. of Vessels,812,119,168,1,104,127,69,0,1400
2018,GT,2834,2294,6913,28,170,344,100,0,12683
2018,DWT,3906,2891,11795,46,43,436,58,0,19175
2019,No. of Vessels,834,115,175,1,103,124,77,0,1429
2019,GT,2845,2184,7082,28,160,337,110,0,12746
2019,DWT,3916,2714,12160,46,34,435,67,0,19372
2020,No. of Vessels,862,108,187,0,104,122,80,0,1463
2020,GT,2875,2202,7480,0,161,182,111,0,13011
2020,DWT,3945,2752,12700,0,34,187,68,0,19686
2021,No. of Vessels,877,104,184,0,113,132,81,0,1491
2021,GT,2977,2236,7294,0,169,208,111,0,12995
2021,DWT,4095,2828,12190,0,35,202,68,0,19418
2022,No. of Vessels,889,101,195,0,115,137,83,0,1520
2022,GT,3168,2151,7753,0,175,215,229,0,13691
2022,DWT,4434,2829,12923,0,36,204,225,0,20651
